Company Name,Company Ratings,Services,Advantage_DisAdv,Details
Reliance Industries,4.0,Oil & Gas | Public | 46 years old | Navi Mumbai +596 more,"['Job Security, Skill Development / Learning, Work Life Balance']","['12k Reviews', '63.6k Salaries', '842 Interviews', '111 Jobs', '1.8k Benefits', '15 Photos']"
Bharti Airtel,4.0,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +608 more,"['Skill Development / Learning, Job Security, Company Culture']","['11.1k Reviews', '44k Salaries', '523 Interviews', '299 Jobs', '1.5k Benefits', '23 Photos']"
Tata Motors,4.2,Automobile | 10k-50k Employees | Public | 78 years old | Pune +424 more,"['Job Security, Skill Development / Learning, Company Culture']","['10.3k Reviews', '42.1k Salaries', '668 Interviews', '18 Jobs', '1.6k Benefits', '13 Photos']"
Flipkart,4.1,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +505 more,"['Skill Development / Learning, Company Culture, Job Security']","['8.9k Reviews', '44k Salaries', '933 Interviews', '411 Jobs', '1.4k Benefits', '83 Photos']"
WNS,3.6,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more,['Job Security'],"['8.7k Reviews', '51.4k Salaries', '665 Interviews', '236 Jobs', '1.3k Benefits', '8 Photos']"
IndusInd Bank,3.7,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +635 more,[],"['8.3k Reviews', '44k Salaries', '373 Interviews', '251 Jobs', '771 Benefits', '2 Photos']"
iEnergizer,4.5,BPO | 10k-50k Employees | 23 years old | Noida +24 more,"['Skill Development / Learning, Company Culture, Job Security']","['8.3k Reviews', '17.7k Salaries', '267 Interviews', '77 Jobs', '427 Benefits', '15 Photos']"
Mahindra & Mahindra,4.1,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +455 more,"['Job Security, Skill Development / Learning, Company Culture']","['8.2k Reviews', '37.6k Salaries', '432 Interviews', '93 Jobs', '1.2k Benefits', '5 Photos']"
Ernst & Young,3.6,Accounting & Auditing | 50k-1 Lakh Employees | 21 years old | London +88 more,['Job Security'],"['7.9k Reviews', '105.1k Salaries', '705 Interviews', '1.8k Jobs', '1.2k Benefits', '4 Photos']"
Infosys BPM,3.9,BPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +56 more,"['Job Security, Company Culture, Skill Development / Learning']","['7.5k Reviews', '53.2k Salaries', '619 Interviews', '41 Jobs', '1.1k Benefits', '10 Photos']"
DXC Technology,3.8,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +60 more,['Work Life Balance'],"['7.5k Reviews', '75.8k Salaries', '496 Interviews', '141 Jobs', '1.1k Benefits', '2 Photos']"
IDFC FIRST Bank,4.0,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +513 more,"['Salary & Benefits, Job Security, Skill Development / Learning']","['7.1k Reviews', '38.1k Salaries', '371 Interviews', '78 Jobs', '688 Benefits', '9 Photos']"
Conneqt Business Solutions,3.7,IT Services & Consulting | 10k-50k Employees | 21 years old | Mumbai +189 more,[],"['7k Reviews', '24.9k Salaries', '281 Interviews', '38 Jobs', '729 Benefits', '12 Photos']"
LTIMindtree,3.7,IT Services & Consulting | 50k-1 Lakh Employees | Public | 24 years old | Bangalore/Bengaluru +41 more,[],"['6.6k Reviews', '77.6k Salaries', '812 Interviews', '35 Jobs', '765 Benefits', '30 Photos']"
Bajaj Finserv,4.0,Insurance | 10k-50k Employees | Public | 16 years old | Pune +797 more,"['Salary & Benefits, Skill Development / Learning, Job Security']","['6.5k Reviews', '23.7k Salaries', '303 Interviews', '49 Jobs', '713 Benefits', '1 Photos']"
Hinduja Global Solutions,3.9,Software Product | 10k-50k Employees | Public | 23 years old | Bangalore/Bengaluru +87 more,"['Job Security, Company Culture, Work Life Balance']","['6.4k Reviews', '26.2k Salaries', '153 Interviews', '72 Jobs', '962 Benefits', '33 Photos']"
HSBC Group,4.1,Banking | 10k-50k Employees | Forbes Global 2000 | 21 years old | Pune +55 more,"['Job Security, Work Life Balance, Company Culture']","['6.4k Reviews', '55.3k Salaries', '329 Interviews', '25 Jobs', '1.1k Benefits', '4 Photos']"
Mphasis,3.5,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +42 more,['Promotions / Appraisal'],"['6.3k Reviews', '58.2k Salaries', '429 Interviews', '84 Jobs', '823 Benefits', '10 Photos']"
Startek,3.2,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +62 more,"['Promotions / Appraisal, Salary & Benefits']","['6.2k Reviews', '23.2k Salaries', '286 Interviews', '43 Jobs', '659 Benefits', '2 Photos']"
PwC,3.6,Accounting & Auditing | 10k-50k Employees | Conglomerate | 143 years old | London +79 more,['Job Security'],"['6.2k Reviews', '65.5k Salaries', '710 Interviews', '472 Jobs', '791 Benefits', '13 Photos']"
Ericsson,4.3,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +141 more,"['Company Culture, Job Security, Work Life Balance']","['6.1k Reviews', '43.2k Salaries', '248 Interviews', '13 Jobs', '974 Benefits', '7 Photos']"
HDFC Life,4.1,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +493 more,"['Skill Development / Learning, Job Security, Company Culture']","['6.1k Reviews', '23.6k Salaries', '319 Interviews', '99 Jobs', '604 Benefits', '14 Photos']"
Maruti Suzuki,4.2,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +341 more,"['Job Security, Salary & Benefits, Skill Development / Learning']","['6k Reviews', '25.6k Salaries', '404 Interviews', '41 Jobs', '1.1k Benefits', '10 Photos']"
