Mobile Name,Price,Discount,Ratings,Desc
Xiaomi Redmi 12C,"₹6,999","<span class=""sm-pdrop"">14%</span>","<span class=""sm-rating"" style=""--rating:4.7;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, VoLTE, Wi-FiHelio  G85, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5000 mAh Battery6.71 inches, 720 x 1650 px Display with Water Drop Notch50 MP + Depth Sensor Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v12"
Xiaomi Redmi Note 14 Pro Max,"₹29,990",,"<span class=""sm-rating"" style=""--rating:4.7;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterDimensity 6080, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5200 mAh Battery with Fast Charging6.78 inches, 1080 x 2460 px, 144 Hz Display with Punch Hole200 MP Quad Rear & 32 MP Front CameraMemory Card Supported, upto 1 TBAndroid v14"
Xiaomi Redmi Note 12 Pro (8GB RAM + 256GB),"₹22,249","<span class=""sm-pdrop"">8%</span>","<span class=""sm-rating"" style=""--rating:4.5;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterDimensity 1080, Octa Core, 2.6 GHz Processor8 GB RAM, 256 GB inbuilt5000 mAh Battery with 67W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v12No FM Radio"
Xiaomi 12 Pro 5G,"₹39,999","<span class=""sm-pdrop"">4%</span>","<span class=""sm-rating"" style=""--rating:4.2;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Gen1, Octa Core, 3 GHz Processor8 GB RAM, 256 GB inbuilt4600 mAh Battery with 120W Fast Charging6.73 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front CameraAndroid v12No FM Radio"
Xiaomi Redmi Note 12 Pro Plus,"₹27,999","<span class=""sm-pdrop"">4%</span>","<span class=""sm-rating"" style=""--rating:4.65;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterDimensity 1080, Octa Core, 2.6 GHz Processor8 GB RAM, 256 GB inbuilt4980 mAh Battery with 120W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v12"
Xiaomi Redmi A2 (4GB RAM + 64GB),"₹6,366","<span class=""sm-pdrop"">8%</span>","<span class=""sm-rating"" style=""--rating:4.7;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, VoLTE, Wi-FiHelio G36, Octa Core, 2.2 GHz Processor4 GB RAM, 64 GB inbuilt5000 mAh Battery with 10W Fast Charging6.52 inches, 720 x 1600 px Display with Water Drop Notch8 MP + Depth Sensor Dual Rear & 5 MP Front CameraMemory Card Supported, upto 512 GBAndroid v13"
Xiaomi 13 Ultra 5G,"₹71,499",,"<span class=""sm-rating"" style=""--rating:4;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR BlasterSnapdragon 8 Gen2, Octa Core, 3.2 GHz Processor12 GB RAM, 256 GB inbuilt5000 mAh Battery with 90W Fast Charging6.73 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole50.3 MP Quad Rear & 32 MP Front CameraAndroid v13No FM Radio"
Xiaomi Redmi Note 12 (8GB RAM + 256GB),"₹19,499","<span class=""sm-pdrop"">6%</span>","<span class=""sm-rating"" style=""--rating:4.2;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 4 Gen 1, Octa Core, 2 GHz Processor8 GB RAM, 256 GB inbuilt5000 mAh Battery with 33W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole48 MP + 8 MP + 2 MP Triple Rear & 13 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v12"
Xiaomi Redmi 13 5G,"₹12,499",,"<span class=""sm-rating"" style=""--rating:4.5;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 6 Gen 1, Octa Core, 2.2 GHz Processor6 GB RAM, 128 GB inbuilt5000 mAh Battery with 33W Fast Charging6.82 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole64 MP + 2 MP Dual Rear & 8 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v14"
Xiaomi Redmi Note 12 4G,"₹11,998","<span class=""sm-pdrop"">7%</span>","<span class=""sm-rating"" style=""--rating:4.7;""><!-- --><i></i></span>","Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR BlasterSnapdragon 685, Octa Core, 2.8 GHz Processor6 GB RAM, 64 GB inbuilt5000 mAh Battery with 33W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v13"
